date,house for rent,State
2004-01-01,34,NY
2004-02-01,17,NY
2004-03-01,29,NY
2004-04-01,13,NY
2004-05-01,27,NY
2004-06-01,25,NY
2004-07-01,10,NY
2004-08-01,26,NY
2004-09-01,7,NY
2004-10-01,26,NY
2004-11-01,9,NY
2004-12-01,0,NY
2005-01-01,27,NY
2005-02-01,19,NY
2005-03-01,10,NY
2005-04-01,28,NY
2005-05-01,15,NY
2005-06-01,18,NY
2005-07-01,21,NY
2005-08-01,20,NY
2005-09-01,18,NY
2005-10-01,14,NY
2005-11-01,10,NY
2005-12-01,6,NY
2006-01-01,25,NY
2006-02-01,20,NY
2006-03-01,23,NY
2006-04-01,27,NY
2006-05-01,19,NY
2006-06-01,21,NY
2006-07-01,17,NY
2006-08-01,26,NY
2006-09-01,23,NY
2006-10-01,15,NY
2006-11-01,23,NY
2006-12-01,22,NY
2007-01-01,22,NY
2007-02-01,21,NY
2007-03-01,18,NY
2007-04-01,22,NY
2007-05-01,21,NY
2007-06-01,37,NY
2007-07-01,33,NY
2007-08-01,32,NY
2007-09-01,29,NY
2007-10-01,25,NY
2007-11-01,20,NY
2007-12-01,15,NY
2008-01-01,32,NY
2008-02-01,25,NY
2008-03-01,29,NY
2008-04-01,24,NY
2008-05-01,32,NY
2008-06-01,36,NY
2008-07-01,30,NY
2008-08-01,32,NY
2008-09-01,25,NY
2008-10-01,28,NY
2008-11-01,24,NY
2008-12-01,15,NY
2009-01-01,36,NY
2009-02-01,27,NY
2009-03-01,36,NY
2009-04-01,31,NY
2009-05-01,37,NY
2009-06-01,37,NY
2009-07-01,46,NY
2009-08-01,41,NY
2009-09-01,35,NY
2009-10-01,27,NY
2009-11-01,29,NY
2009-12-01,34,NY
2010-01-01,38,NY
2010-02-01,39,NY
2010-03-01,38,NY
2010-04-01,52,NY
2010-05-01,49,NY
2010-06-01,36,NY
2010-07-01,56,NY
2010-08-01,38,NY
2010-09-01,36,NY
2010-10-01,34,NY
2010-11-01,34,NY
2010-12-01,27,NY
2011-01-01,46,NY
2011-02-01,40,NY
2011-03-01,42,NY
2011-04-01,41,NY
2011-05-01,48,NY
2011-06-01,44,NY
2011-07-01,48,NY
2011-08-01,38,NY
2011-09-01,42,NY
2011-10-01,35,NY
2011-11-01,35,NY
2011-12-01,30,NY
2012-01-01,46,NY
2012-02-01,49,NY
2012-03-01,41,NY
2012-04-01,51,NY
2012-05-01,49,NY
2012-06-01,44,NY
2012-07-01,53,NY
2012-08-01,48,NY
2012-09-01,42,NY
2012-10-01,39,NY
2012-11-01,34,NY
2012-12-01,35,NY
2013-01-01,51,NY
2013-02-01,44,NY
2013-03-01,50,NY
2013-04-01,54,NY
2013-05-01,47,NY
2013-06-01,49,NY
2013-07-01,57,NY
2013-08-01,55,NY
2013-09-01,46,NY
2013-10-01,46,NY
2013-11-01,40,NY
2013-12-01,36,NY
2014-01-01,56,NY
2014-02-01,51,NY
2014-03-01,49,NY
2014-04-01,59,NY
2014-05-01,61,NY
2014-06-01,57,NY
2014-07-01,65,NY
2014-08-01,61,NY
2014-09-01,57,NY
2014-10-01,52,NY
2014-11-01,47,NY
2014-12-01,50,NY
2015-01-01,70,NY
2015-02-01,62,NY
2015-03-01,72,NY
2015-04-01,75,NY
2015-05-01,72,NY
2015-06-01,74,NY
2015-07-01,73,NY
2015-08-01,70,NY
2015-09-01,67,NY
2015-10-01,57,NY
2015-11-01,57,NY
2015-12-01,55,NY
2016-01-01,66,NY
2016-02-01,70,NY
2016-03-01,69,NY
2016-04-01,71,NY
2016-05-01,77,NY
2016-06-01,74,NY
2016-07-01,77,NY
2016-08-01,72,NY
2016-09-01,64,NY
2016-10-01,62,NY
2016-11-01,57,NY
2016-12-01,54,NY
2017-01-01,79,NY
2017-02-01,71,NY
2017-03-01,73,NY
2017-04-01,79,NY
2017-05-01,77,NY
2017-06-01,77,NY
2017-07-01,81,NY
2017-08-01,79,NY
2017-09-01,64,NY
2017-10-01,65,NY
2017-11-01,60,NY
2017-12-01,64,NY
2018-01-01,69,NY
2018-02-01,69,NY
2018-03-01,72,NY
2018-04-01,76,NY
2018-05-01,79,NY
2018-06-01,80,NY
2018-07-01,85,NY
2018-08-01,87,NY
2018-09-01,69,NY
2018-10-01,64,NY
2018-11-01,59,NY
2018-12-01,57,NY
2019-01-01,63,NY
2019-02-01,74,NY
2019-03-01,77,NY
2019-04-01,64,NY
2019-05-01,71,NY
2019-06-01,76,NY
2019-07-01,80,NY
2019-08-01,67,NY
2019-09-01,66,NY
2019-10-01,57,NY
2019-11-01,48,NY
2019-12-01,51,NY
2020-01-01,66,NY
2020-02-01,73,NY
2020-03-01,53,NY
2020-04-01,54,NY
2020-05-01,86,NY
2020-06-01,100,NY
2020-07-01,100,NY
2020-08-01,96,NY
2020-09-01,71,NY
2020-10-01,69,NY
2020-11-01,60,NY
2020-12-01,59,NY
